Date,INJCJC,INJCJC4
29-Jan-10,493,487.75
5-Feb-10,465,485.5
12-Feb-10,486,478.75
19-Feb-10,500,486
26-Feb-10,486,484.25
5-Mar-10,469,485.25
12-Mar-10,475,482.5
19-Mar-10,468,474.5
26-Mar-10,458,467.5
2-Apr-10,476,469.25
9-Apr-10,474,469
16-Apr-10,467,468.75
23-Apr-10,450,466.75
30-Apr-10,450,460.25
7-May-10,450,454.25
14-May-10,474,456
21-May-10,461,458.75
28-May-10,456,460.25
4-Jun-10,458,462.25
11-Jun-10,466,460.25
18-Jun-10,452,458
25-Jun-10,464,460
2-Jul-10,454,459
9-Jul-10,438,452
16-Jul-10,459,453.75
23-Jul-10,464,453.75
30-Jul-10,474,458.75
6-Aug-10,484,470.25
13-Aug-10,486,477
20-Aug-10,464,477
27-Aug-10,467,475.25
3-Sep-10,455,468
10-Sep-10,444,457.5
17-Sep-10,460,456.5
24-Sep-10,458,454.25
1-Oct-10,446,452
8-Oct-10,457,455.25
15-Oct-10,443,451
22-Oct-10,433,444.75
29-Oct-10,453,446.5
5-Nov-10,436,441.25
12-Nov-10,434,439
19-Nov-10,410,433.25
26-Nov-10,435,428.75
3-Dec-10,431,427.5
10-Dec-10,428,426
17-Dec-10,426,430
24-Dec-10,406,422.75
31-Dec-10,418,419.5
7-Jan-11,439,422.25
14-Jan-11,428,422.75
21-Jan-11,448,433.25
28-Jan-11,419,433.5
4-Feb-11,404,424.75
11-Feb-11,425,424
18-Feb-11,397,411.25
25-Feb-11,389,403.75
4-Mar-11,414,406.25
11-Mar-11,404,401
18-Mar-11,406,403.25
25-Mar-11,397,405.25
1-Apr-11,394,400.25
8-Apr-11,412,402.25
15-Apr-11,404,401.75
22-Apr-11,423,408.25
29-Apr-11,468,426.75
6-May-11,430,431.25
13-May-11,413,433.5
20-May-11,423,433.5
27-May-11,416,420.5
3-Jun-11,424,419
10-Jun-11,412,418.75
17-Jun-11,415,416.75
24-Jun-11,421,418
1-Jul-11,419,416.75
8-Jul-11,409,416
15-Jul-11,414,415.75
22-Jul-11,408,412.5
29-Jul-11,403,408.5
5-Aug-11,405,407.5
12-Aug-11,409,406.25
19-Aug-11,414,407.75
26-Aug-11,408,409
2-Sep-11,417,412
9-Sep-11,427,416.5
16-Sep-11,420,418
23-Sep-11,405,417.25
30-Sep-11,404,414
7-Oct-11,404,408.25
14-Oct-11,391,401
21-Oct-11,400,399.75
28-Oct-11,397,398
4-Nov-11,392,395
11-Nov-11,385,393.5
18-Nov-11,387,390.25
25-Nov-11,399,390.75
2-Dec-11,390,390.25
9-Dec-11,369,386.25
16-Dec-11,368,381.5
23-Dec-11,388,378.75
30-Dec-11,381,376.5
6-Jan-12,396,383.25
13-Jan-12,374,384.75
20-Jan-12,384,383.75
27-Jan-12,370,381
3-Feb-12,369,374.25
10-Feb-12,361,371
17-Feb-12,360,365
24-Feb-12,372,365.5
2-Mar-12,374,366.75
9-Mar-12,368,368.5
16-Mar-12,367,370.25
23-Mar-12,359,367
30-Mar-12,357,362.75
6-Apr-12,380,365.75
13-Apr-12,381,369.25
20-Apr-12,386,376
27-Apr-12,374,380.25
4-May-12,370,377.75
11-May-12,367,374.25
18-May-12,372,370.75
25-May-12,378,371.75
1-Jun-12,378,373.75
8-Jun-12,382,377.5
15-Jun-12,383,380.25
22-Jun-12,381,381
29-Jun-12,373,379.75
6-Jul-12,360,374.25
13-Jul-12,384,374.5
20-Jul-12,361,369.5
27-Jul-12,371,369
3-Aug-12,369,371.25
10-Aug-12,372,368.25
17-Aug-12,374,371.5
24-Aug-12,377,373
31-Aug-12,374,374.25
7-Sep-12,394,379.75
14-Sep-12,386,382.75
21-Sep-12,376,382.5
28-Sep-12,374,382.5
5-Oct-12,343,369.75
12-Oct-12,379,368
19-Oct-12,370,366.5
26-Oct-12,364,364
2-Nov-12,365,369.5
9-Nov-12,446,386.25
16-Nov-12,406,395.25
23-Nov-12,394,402.75
30-Nov-12,379,406.25
7-Dec-12,343,380.5
14-Dec-12,358,368.5
21-Dec-12,365,361.25
28-Dec-12,369,358.75
4-Jan-13,375,366.75
11-Jan-13,351,365
18-Jan-13,347,360.5
25-Jan-13,364,359.25
1-Feb-13,357,354.75
8-Feb-13,349,354.25
15-Feb-13,360,357.5
22-Feb-13,348,353.5
1-Mar-13,342,349.75
8-Mar-13,338,347
15-Mar-13,343,342.75
22-Mar-13,354,344.25
29-Mar-13,375,352.5
5-Apr-13,348,355
12-Apr-13,353,357.5
19-Apr-13,343,354.75
26-Apr-13,332,344
3-May-13,332,340
10-May-13,355,340.5
17-May-13,344,340.75
24-May-13,350,345.25
31-May-13,347,349
7-Jun-13,337,344.5
14-Jun-13,352,346.5
21-Jun-13,345,345.25
28-Jun-13,344,344.5
5-Jul-13,353,348.5
12-Jul-13,339,345.25
19-Jul-13,343,344.75
26-Jul-13,333,342
2-Aug-13,335,337.5
9-Aug-13,329,335
16-Aug-13,338,333.75
23-Aug-13,336,334.5
30-Aug-13,328,332.75
6-Sep-13,307,327.25
13-Sep-13,318,322.25
20-Sep-13,316,317.25
27-Sep-13,318,314.75
4-Oct-13,362,328.5
11-Oct-13,355,337.75
18-Oct-13,347,345.5
25-Oct-13,346,352.5
1-Nov-13,341,347.25
8-Nov-13,342,344
15-Nov-13,332,340.25
22-Nov-13,324,334.75
29-Nov-13,317,328.75
6-Dec-13,358,332.75
13-Dec-13,368,341.75
20-Dec-13,339,345.5
27-Dec-13,344,352.25
3-Jan-14,333,346
10-Jan-14,329,336.25
17-Jan-14,334,335
24-Jan-14,345,335.25
31-Jan-14,328,334
7-Feb-14,343,337.5
14-Feb-14,330,336.5
21-Feb-14,351,338
28-Feb-14,325,337.25
7-Mar-14,319,331.25
14-Mar-14,323,329.5
21-Mar-14,310,319.25
28-Mar-14,332,321
4-Apr-14,301,316.5
11-Apr-14,305,312
18-Apr-14,330,317
25-Apr-14,345,320.25
2-May-14,321,325.25
9-May-14,298,323.5
16-May-14,327,322.75
23-May-14,304,312.5
30-May-14,313,310.5
6-Jun-14,318,315.5
13-Jun-14,314,312.25
20-Jun-14,313,314.5
27-Jun-14,316,315.25
4-Jul-14,305,312
11-Jul-14,303,309.25
18-Jul-14,279,300.75
25-Jul-14,303,297.5
1-Aug-14,290,293.75
8-Aug-14,312,296
15-Aug-14,299,301
22-Aug-14,298,299.75
29-Aug-14,304,303.25
5-Sep-14,316,304.25
12-Sep-14,281,299.75
19-Sep-14,295,299
26-Sep-14,288,295
3-Oct-14,287,287.75
10-Oct-14,266,284
17-Oct-14,284,281.25
24-Oct-14,288,281.25
31-Oct-14,278,279
7-Nov-14,293,285.75
14-Nov-14,292,294.25
21-Nov-14,314,294.25
28-Nov-14,297,299
