Date,INJCJC,INJCJC4
12-Aug-94,335,337.5
19-Aug-94,331,334
26-Aug-94,341,336.25
2-Sep-94,339,336.5
9-Sep-94,331,335.5
16-Sep-94,326,334.25
23-Sep-94,325,330.25
30-Sep-94,330,328
7-Oct-94,341,330.5
14-Oct-94,335,332.75
21-Oct-94,330,334
28-Oct-94,331,334.25
4-Nov-94,328,331
11-Nov-94,329,329.5
18-Nov-94,326,328.5
25-Nov-94,329,328
2-Dec-94,324,327
9-Dec-94,329,327
16-Dec-94,330,328
23-Dec-94,314,324.25
30-Dec-94,319,323
6-Jan-95,338,325.25
13-Jan-95,347,329.5
20-Jan-95,325,332.25
27-Jan-95,324,333.5
3-Feb-95,324,330
10-Feb-95,348,330.25
17-Feb-95,343,334.75
24-Feb-95,336,337.75
3-Mar-95,339,341.5
10-Mar-95,347,341.25
17-Mar-95,343,341.25
24-Mar-95,332,340.25
31-Mar-95,335,339.25
7-Apr-95,347,339.25
14-Apr-95,355,342.25
21-Apr-95,349,346.5
28-Apr-95,365,354
5-May-95,364,358.25
12-May-95,366,361
19-May-95,377,368
26-May-95,374,370.25
2-Jun-95,362,369.75
9-Jun-95,367,370
16-Jun-95,378,370.25
23-Jun-95,358,366.25
30-Jun-95,355,364.5
7-Jul-95,372,365.75
14-Jul-95,389,368.5
21-Jul-95,390,376.5
28-Jul-95,351,375.5
4-Aug-95,351,370.25
11-Aug-95,353,361.25
18-Aug-95,362,354.25
25-Aug-95,359,356.25
1-Sep-95,355,357.25
8-Sep-95,371,361.75
15-Sep-95,376,365.25
22-Sep-95,353,363.75
29-Sep-95,355,363.75
6-Oct-95,374,364.5
13-Oct-95,369,362.75
20-Oct-95,366,366
27-Oct-95,377,371.5
3-Nov-95,380,373
10-Nov-95,370,373.25
17-Nov-95,379,376.5
24-Nov-95,379,377
1-Dec-95,373,375.25
8-Dec-95,346,369.25
15-Dec-95,373,367.75
22-Dec-95,374,366.5
29-Dec-95,359,363
5-Jan-96,361,366.75
12-Jan-96,333,356.75
19-Jan-96,415,367
26-Jan-96,387,374
2-Feb-96,374,377.25
9-Feb-96,387,390.75
16-Feb-96,383,382.75
23-Feb-96,365,377.25
1-Mar-96,368,375.75
8-Mar-96,361,369.25
15-Mar-96,384,369.5
22-Mar-96,426,384.75
29-Mar-96,393,391
5-Apr-96,369,393
12-Apr-96,357,386.25
