"","region","urb","lit","voteshare","absolute_wealth"
"1","Region 2",0.149098843336105,0.428374171257019,0.416848808526993,5110593
"2","Region 2",0.149098843336105,0.428374171257019,0.113762281835079,99999.96875
"3","Region 2",0.0918221399188042,0.457907050848007,0.298390418291092,55340.00390625
"4","Region 2",0.10168768465519,0.306343823671341,0.483587741851807,206999.9375
"5","Region 2",0.0613997541368008,0.273175597190857,0.31069016456604,1307408
"6","Region 2",0.417269378900528,0.519964635372162,0.402352899312973,5864785.5
"7","Region 2",0.0685975402593613,0.40396648645401,0.143740013241768,235891.921875
"8","Region 2",0.186498939990997,0.398520201444626,0.257516831159592,6268082
"9","Region 2",0.0918221399188042,0.457907050848007,0.441638052463531,2942911.25
"10","Region 2",0.0456306077539921,0.38156846165657,0.188883364200592,543749.8125
"11","Region 2",0.417269378900528,0.519964635372162,0.692914962768555,10250036
"12","Region 2",0.0638209357857704,0.295618563890457,0.478732734918594,4133162.25
"13","Region 2",0.417269378900528,0.519964635372162,0.693324029445648,1414765.875
"14","Region 2",0.133260130882263,0.491803735494614,0.0743607133626938,228356.015625
"15","Region 2",0.0737605765461922,0.340479254722595,0.268389672040939,3297375.5
"16","Region 2",0.0363600961863995,0.356767565011978,0.18095675110817,860999.9375
"17","Region 2",0.0544314682483673,0.41189506649971,0.429410755634308,30000.9921875
"18","Region 2",0.13922156393528,0.478350907564163,0.237035050988197,3409304.5
"19","Region 2",0.0872425585985184,0.275191009044647,0.394271224737167,1083182.875
"20","Region 2",0.0917686820030212,0.414815038442612,0.48634597659111,243999.984375
"21","Region 2",0.0456306077539921,0.38156846165657,0.302516043186188,582500
"22","Region 2",0.0321990810334682,0.435858607292175,0.295393019914627,2
"23","Region 2",0.035024207085371,0.34021332859993,0.362745463848114,2
"24","Region 2",0.0918221399188042,0.457907050848007,0.274383693933487,980291.875
"25","Region 2",0.0917686820030212,0.414815038442612,0.272875219583511,3905660.75
"26","Region 2",0.186498939990997,0.398520201444626,0.410130262374878,1127465.75
"27","Region 2",0.0571252293884754,0.304806679487228,0.460627138614655,5745758.5
"28","Region 2",0.0638209357857704,0.295618563890457,0.48612642288208,92600.0234375
"29","Region 2",0.0872425585985184,0.275191009044647,0.467464983463287,138999.953125
"30","Region 2",0.0912156403064728,0.273806154727936,0.3179731965065,279422.0625
"31","Region 2",0.0363600961863995,0.356767565011978,0.17663799226284,336000.15625
"32","Region 2",0.13922156393528,0.478350907564163,0.2790746986866,722500.0625
"33","Region 2",0.136764317750931,0.404629945755005,0.322827219963074,790446.125
"34","Region 2",0.080962099134922,0.354261755943298,0.357688426971436,6565280
"35","Region 2",0.0929537191987038,0.384591400623322,0.426770508289337,1217653.125
"36","Region 2",0.417269378900528,0.519964635372162,0.431553542613983,2764000.25
"37","Region 2",0.0571252293884754,0.304806679487228,0.14079986512661,66636.0078125
"38","Region 2",0.080962099134922,0.354261755943298,0.53717452287674,6838729
"39","Region 2",0.0544314682483673,0.41189506649971,0.330807626247406,522143.15625
"40","Region 2",0.0606400147080421,0.379150152206421,0.392371147871017,1856667.5
"41","Region 2",0.133260130882263,0.491803735494614,0.45468270778656,2
"42","Region 2",0.080962099134922,0.354261755943298,0.434642970561981,1056999.75
"43","Region 2",0.0606400147080421,0.379150152206421,0.167540639638901,580993.1875
"44","Region 2",0.0766239166259766,0.375275731086731,0.539674997329712,800000.125
"45","Region 2",0.0638209357857704,0.295618563890457,0.397120326757431,1294795.125
"46","Region 2",0.0606400147080421,0.379150152206421,0.295469611883163,549999.875
"47","Region 2",0.0912156403064728,0.273806154727936,0.301208049058914,670594.0625
"48","Region 2",0.10168768465519,0.306343823671341,0.228212282061577,5122518.5
"49","Region 2",0.0995149463415146,0.241823956370354,0.324646085500717,309999.875
"50","Region 2",0.0766239166259766,0.375275731086731,0.350971132516861,2
"51","Region 2",0.0638209357857704,0.295618563890457,0.327404528856277,2796400
"52","Region 2",0.080962099134922,0.354261755943298,0.275193721055984,2285801.25
"53","Region 2",0.0838690474629402,0.45739734172821,0.473842829465866,1854294.5
"54","Region 2",0.0456306077539921,0.38156846165657,0.36261510848999,3034198.75
"55","Region 2",0.0544314682483673,0.41189506649971,0.342462480068207,18891.0078125
"56","Region 2",0.136764317750931,0.404629945755005,0.293866246938705,2
"57","Region 2",0.0912156403064728,0.273806154727936,0.402834683656693,7689180.5
"58","Region 2",0.080962099134922,0.354261755943298,0.34412544965744,1191351.25
"59","Region 2",0.035024207085371,0.34021332859993,0.469053238630295,1268084
"60","Region 2",0.0822281390428543,0.308700799942017,0.391197681427002,1692076.25
"61","Region 2",0.0638209357857704,0.295618563890457,0.453131675720215,1134015.625
"62","Region 2",0.417269378900528,0.519964635372162,0.59337329864502,1723354.375
"63","Region 2",0.10168768465519,0.306343823671341,0.374490588903427,3048753.75
"64","Region 2",0.0685975402593613,0.40396648645401,0.0899842008948326,1157020.875
"65","Region 2",0.0912156403064728,0.273806154727936,0.345557808876038,1116454.625
"66","Region 2",0.146573588252068,0.37836766242981,0.389718860387802,467489.8125
"67","Region 2",0.034795306622982,0.334456503391266,0.376198917627335,1500004.625
"68","Region 2",0.0638209357857704,0.295618563890457,0.324078410863876,1574755.25
"69","Region 2",0.0872425585985184,0.275191009044647,0.136748149991035,786100.25
"70","Region 2",0.0872425585985184,0.275191009044647,0.387259304523468,3068627.25
"71","Region 2",0.0606400147080421,0.379150152206421,0.367473393678665,1801413.75
"72","Region 2",0.034795306622982,0.334456503391266,0.413491189479828,1176464.75
"73","Region 2",0.0766239166259766,0.375275731086731,0.470280110836029,740999.8125
"74","Region 2",0.0917686820030212,0.414815038442612,0.437296092510223,1180884.5
"75","Region 2",0.0917686820030212,0.414815038442612,0.345942407846451,827350.125
"76","Region 2",0.186498939990997,0.398520201444626,0.581241548061371,1097769.125
"77","Region 2",0.149098843336105,0.428374171257019,0.574481546878815,2568540
"78","Region 2",0.13922156393528,0.478350907564163,0.359051257371902,206499.90625
"79","Region 2",0.417269378900528,0.519964635372162,0.292771846055984,3010000.75
"80","Region 2",0.0571252293884754,0.304806679487228,0.517738401889801,302942.0625
"81","Region 2",0.0571252293884754,0.304806679487228,0.345453768968582,1518121.875
"82","Region 2",0.417269378900528,0.519964635372162,0.520122766494751,1792247.75
"83","Region 2",0.0544314682483673,0.41189506649971,0.188472062349319,115905.015625
"84","Region 2",0.136764317750931,0.404629945755005,0.582321405410767,5424283
"85","Region 2",0.0738901719450951,0.445161670446396,0.283947587013245,530001.1875
"86","Region 2",0.0613997541368008,0.273175597190857,0.477114021778107,1415999.625
"87","Region 2",0.0613997541368008,0.273175597190857,0.327328950166702,145930.015625
"88","Region 2",0.0613997541368008,0.273175597190857,0.324347496032715,1415500.125
"89","Region 2",0.133260130882263,0.491803735494614,0.439889013767242,1121207
"90","Region 2",0.10168768465519,0.306343823671341,0.357399255037308,452000.09375
"91","Region 2",0.0872425585985184,0.275191009044647,0.250649899244308,2
"92","Region 2",0.13922156393528,0.478350907564163,0.471917361021042,1009520
"93","Region 2",0.0544314682483673,0.41189506649971,0.37158191204071,7706998
"94","Region 2",0.034795306622982,0.334456503391266,0.226962178945541,6038870.5
"95","Region 2",0.0912156403064728,0.273806154727936,0.367657452821732,1016179.0625
"96","Region 2",0.0766239166259766,0.375275731086731,0.169370263814926,2
"97","Region 2",0.146573588252068,0.37836766242981,0.401923835277557,6125265
"98","Region 2",0.034795306622982,0.334456503391266,0.38099130988121,855962.375
"99","Region 2",0.0685975402593613,0.40396648645401,0.437904000282288,6124131.5
"100","Region 2",0.0912156403064728,0.273806154727936,0.340226382017136,902113.6875
"101","Region 2",0.0321990810334682,0.435858607292175,0.149474397301674,190000.921875
"102","Region 2",0.0321990810334682,0.435858607292175,0.249371692538261,364999.9375
"103","Region 2",0.0606400147080421,0.379150152206421,0.103051945567131,1531999.75
"104","Region 2",0.10168768465519,0.306343823671341,0.148905351758003,250001
"105","Region 2",0.149098843336105,0.428374171257019,0.0285506118088961,23001
"106","Region 2",0.0638209357857704,0.295618563890457,0.0678748339414597,1367299.75
"107","Region 2",0.0321990810334682,0.435858607292175,0.29485958814621,650001.125
"108","Region 2",0.0321990810334682,0.435858607292175,0.282206684350967,595000.25
"109","Region 2",0.0918221399188042,0.457907050848007,0.208563283085823,3399901.5
"110","Region 2",0.0929537191987038,0.384591400623322,0.0495836995542049,85679.0078125
"111","Region 2",0.0321990810334682,0.435858607292175,0.144701525568962,1847000.125
"112","Region 2",0.0571252293884754,0.304806679487228,0.237529143691063,782400.3125
"113","Region 2",0.186498939990997,0.398520201444626,0.0621042065322399,1444580.625
"114","Region 2",0.0606400147080421,0.379150152206421,0.369243919849396,1871816.625
"115","Region 2",0.0606400147080421,0.379150152206421,0.148520901799202,1778349.5
"116","Region 2",0.10168768465519,0.306343823671341,0.26536825299263,5055915.5
"117","Region 2",0.10168768465519,0.306343823671341,0.102234676480293,7359604.5
"118","Region 2",0.0918221399188042,0.457907050848007,0.451680392026901,899720
"119","Region 2",0.10168768465519,0.306343823671341,0.0267046969383955,255499.90625
"120","Region 2",0.0544314682483673,0.41189506649971,0.0355634391307831,1001.00006103516
"121","Region 2",0.10168768465519,0.306343823671341,0.10286370664835,81280.015625
"122","Region 2",0.0606400147080421,0.379150152206421,0.293107002973557,2075000.875
"123","Region 2",0.035024207085371,0.34021332859993,0.133123159408569,1258749.75
"124","Region 2",0.133260130882263,0.491803735494614,0.376348346471786,110001.015625
"125","Region 2",0.0917686820030212,0.414815038442612,0.147363632917404,6656297
"126","Region 2",0.0606400147080421,0.379150152206421,0.0974592491984367,180579.03125
"127","Region 2",0.133260130882263,0.491803735494614,0.161510646343231,401000.96875
"128","Region 2",0.0918221399188042,0.457907050848007,0.297288775444031,799610.375
"129","Region 2",0.0321990810334682,0.435858607292175,0.242429986596107,76000.984375
"130","Region 2",0.0456306077539921,0.38156846165657,0.330357849597931,1470000.375
"131","Region 2",0.0456306077539921,0.38156846165657,0.199060693383217,1352515.125
"132","Region 2",0.0766239166259766,0.375275731086731,0.056217186152935,2
"133","Region 2",0.0456306077539921,0.38156846165657,0.252876818180084,1090.00024414062
"134","Region 2",0.0544314682483673,0.41189506649971,0.0715807974338531,1428426.25
"135","Region 2",0.0929537191987038,0.384591400623322,0.1242545992136,785619.8125
"136","Region 2",0.149098843336105,0.428374171257019,0.302213788032532,2990915
"137","Region 2",0.035024207085371,0.34021332859993,0.288626164197922,2
"138","Region 2",0.186498939990997,0.398520201444626,0.247604623436928,829999.9375
"139","Region 2",0.034795306622982,0.334456503391266,0.175519227981567,374000.0625
"140","Region 2",0.034795306622982,0.334456503391266,0.366968244314194,2553461
"141","Region 2",0.0838690474629402,0.45739734172821,0.103210851550102,201490.046875
"142","Region 2",0.0822281390428543,0.308700799942017,0.0649419873952866,92222.0390625
"143","Region 2",0.0737605765461922,0.340479254722595,0.181853041052818,208369.9375
"144","Region 2",0.0363600961863995,0.356767565011978,0.0630454570055008,476000.1875
"145","Region 2",0.0822281390428543,0.308700799942017,0.100086182355881,119862.0234375
"146","Region 2",0.136764317750931,0.404629945755005,0.0785621777176857,2
"147","Region 2",0.080962099134922,0.354261755943298,0.163339450955391,12000.9970703125
"148","Region 2",0.417269378900528,0.519964635372162,0.0229028295725584,2705516.5
"149","Region 2",0.0872425585985184,0.275191009044647,0.0877814441919327,27001.0078125
"150","Region 2",0.0456306077539921,0.38156846165657,0.353968143463135,1174536.5
"151","Region 2",0.0838690474629402,0.45739734172821,0.143259584903717,1225000.375
"152","Region 2",0.0456306077539921,0.38156846165657,0.418959140777588,360001.09375
